Dataset,Accuracy,Precision_Real,Recall_Real,F1_Real,Precision_Fake,Recall_Fake,F1_Fake
Validation,0.793,0.83,0.75,0.79,0.76,0.84,0.8
Test,0.695,0.9,0.44,0.59,0.63,0.95,0.76
